# Tolerancia temporal global (minutos)
45

# Pacientes con horarios de cita
# Formato: id_paciente, tiempo_cita (minutos)
1, 80
2, 110
3, 115
4, 160
5, 180
6, 210

# Combis y sus capacidades (Nombre:Capacidad)
Combi_A:2
Combi_B:2
Combi_C:4

# Matriz de Distancias (Origen, Destino, Costo)
# El 0 es el Centro de Atención
0, 1, 15
0, 2, 25
0, 3, 20
0, 4, 35
0, 5, 30
0, 6, 40
1, 0, 15
1, 2, 12
1, 3, 22
1, 4, 30
1, 5, 18
1, 6, 45
2, 0, 25
2, 1, 12
2, 3, 18
2, 4, 25
2, 5, 28
2, 6, 35
3, 0, 20
3, 1, 22
3, 2, 18
3, 4, 15
3, 5, 35
3, 6, 38
4, 0, 35
4, 1, 30
4, 2, 25
4, 3, 15
4, 5, 20
4, 6, 50
5, 0, 30
5, 1, 18
5, 2, 28
5, 3, 35
5, 4, 20
5, 6, 55
6, 0, 40
6, 1, 45
6, 2, 35
6, 3, 38
6, 4, 50
6, 5, 55
